Count	Timestamp	Time since start (s)		Cray node E (J)	Cray cpu E (J)	Cray memory E (J)	Cray node E since start (J)	Cray cpu E since start (J)	Cray memory E since start (J)	Cray node P (W)	Cray cpu P (W)	Cray memory P (W)	Cray node P calc (W)	Cray cpu P calc (W)	Cray memory P calc (W)	Cpufreq frequency (MHz)	Cray frequency (MHz)	
--- EMON TAG START: application_summary
76	2019-08-21 17:12:37	38.000000	697138213.000000	403165003.000000	46631530.000000	4842.000000	3024.000000	491.000000	127.000000	79.000000	13.000000	132.000000	82.000000	14.000000	1301.000000	10.000000	
77	2019-08-21 17:12:38	39.000000	697138275.000000	403165042.000000	46631536.000000	4904.000000	3063.000000	497.000000	127.000000	79.000000	13.000000	124.000000	78.000000	12.000000	1301.000000	10.000000	
78	2019-08-21 17:12:38	39.000000	697138338.000000	403165082.000000	46631542.000000	4967.000000	3103.000000	503.000000	127.000000	79.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
79	2019-08-21 17:12:39	40.000000	697138402.000000	403165121.000000	46631549.000000	5031.000000	3142.000000	510.000000	127.000000	79.000000	13.000000	128.000000	78.000000	14.000000	1301.000000	10.000000	
80	2019-08-21 17:12:39	40.000000	697138465.000000	403165161.000000	46631555.000000	5094.000000	3182.000000	516.000000	127.000000	79.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
81	2019-08-21 17:12:40	41.000000	697138529.000000	403165201.000000	46631562.000000	5158.000000	3222.000000	523.000000	127.000000	79.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
82	2019-08-21 17:12:40	41.000000	697138593.000000	403165240.000000	46631568.000000	5222.000000	3261.000000	529.000000	127.000000	79.000000	13.000000	128.000000	78.000000	12.000000	1301.000000	10.000000	
83	2019-08-21 17:12:41	42.000000	697138656.000000	403165280.000000	46631575.000000	5285.000000	3301.000000	536.000000	127.000000	79.000000	13.000000	126.000000	80.000000	14.000000	1301.000000	10.000000	
84	2019-08-21 17:12:41	42.000000	697138720.000000	403165320.000000	46631581.000000	5349.000000	3341.000000	542.000000	128.000000	79.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
85	2019-08-21 17:12:42	43.000000	697138784.000000	403165359.000000	46631588.000000	5413.000000	3380.000000	549.000000	127.000000	79.000000	13.000000	128.000000	78.000000	14.000000	1301.000000	10.000000	
86	2019-08-21 17:12:42	43.000000	697138848.000000	403165399.000000	46631594.000000	5477.000000	3420.000000	555.000000	127.000000	79.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
87	2019-08-21 17:12:43	44.000000	697138911.000000	403165439.000000	46631601.000000	5540.000000	3460.000000	562.000000	127.000000	79.000000	13.000000	126.000000	80.000000	14.000000	1301.000000	10.000000	
88	2019-08-21 17:12:43	44.000000	697138975.000000	403165478.000000	46631607.000000	5604.000000	3499.000000	568.000000	127.000000	79.000000	13.000000	128.000000	78.000000	12.000000	1301.000000	10.000000	
89	2019-08-21 17:12:44	45.000000	697139039.000000	403165518.000000	46631614.000000	5668.000000	3539.000000	575.000000	127.000000	79.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
90	2019-08-21 17:12:44	45.000000	697139102.000000	403165558.000000	46631620.000000	5731.000000	3579.000000	581.000000	128.000000	80.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
